,0,1
836,(주)에스와이코퍼레이션,NNG
837,(주)엘엑스홀딩스,NNG
838,에스케이스퀘어(주),NNG
839,(주)다함이텍,NNG
840,벽산건설(주),NNG
841,중국고섬공고유한공사,NNG
842,디엘이앤씨(주),NNG
843,한일건설(주),NNG
844,글로스텍(주),NNG
845,(주)에프앤에프,NNG
846,대우자동차판매(주),NNG
847,풍림산업(주),NNG
848,연합과기공고유한공사,NNG
849,(주)케이피케미칼,NNG
850,(주)선진지주,NNG
851,(주)중앙건설,NNG
852,아세아페이퍼텍(주),NNG
853,(주)유니드비티플러스,NNG
854,(주)허메스홀딩스,NNG
855,(주)롯데미도파,NNG
856,(주)배명금속,NNG
857,코원에너지서비스(주),NNG
858,(주)태평양제약,NNG
